navigation,pid,tid,jid,distance,n_interactions,time_ms
burger,3E02A34,0,0,-5,1,10532
burger,3E02A34,0,1,5,1,4600
burger,3E02A34,0,2,5,1,3471
burger,3E02A34,0,3,-5,1,4032
burger,3E02A34,0,4,-5,1,3284
burger,3E02A34,1,0,2,1,8011
burger,3E02A34,1,1,-1,1,2902
burger,3E02A34,1,2,-2,1,2832
burger,3E02A34,1,3,-3,1,2623
burger,3E02A34,1,4,2,1,3391
burger,3E02A34,2,0,-4,1,3407
burger,3E02A34,2,1,5,1,2817
burger,3E02A34,2,2,4,1,2917
burger,3E02A34,2,3,6,1,4067
burger,3E02A34,2,4,-5,1,2567
burger,3E02A34,3,0,9,1,3626
burger,3E02A34,3,1,8,2,5053
burger,3E02A34,3,2,-7,1,3065
burger,3E02A34,3,3,-8,1,3901
burger,3E02A34,3,4,-8,1,3686
burger,3E02A34,4,0,-11,1,4391
burger,3E02A34,4,1,-11,1,4419
burger,3E02A34,4,2,10,1,4552
burger,3E02A34,4,3,-12,1,3568
burger,3E02A34,4,4,11,1,4204
burger,3E02A34,5,0,14,1,5344
burger,3E02A34,5,1,-15,1,4935
burger,3E02A34,5,2,-14,1,4519
burger,3E02A34,5,3,13,1,4217
burger,3E02A34,5,4,-14,1,4250
swipe,336NE2S,0,0,-5,7,4928
swipe,336NE2S,0,1,5,5,3484
swipe,336NE2S,0,2,5,5,2730
swipe,336NE2S,0,3,-5,5,2318
swipe,336NE2S,0,4,-5,7,2802
swipe,336NE2S,1,0,2,2,2591
swipe,336NE2S,1,1,-1,3,3746
swipe,336NE2S,1,2,-2,2,1651
swipe,336NE2S,1,3,-3,5,3699
swipe,336NE2S,1,4,2,2,2251
swipe,336NE2S,2,0,-4,6,3731
swipe,336NE2S,2,1,5,5,3335
swipe,336NE2S,2,2,4,4,2334
swipe,336NE2S,2,3,6,8,4541
swipe,336NE2S,2,4,-5,7,3532
swipe,336NE2S,3,0,9,9,4363
swipe,336NE2S,3,1,8,8,3938
swipe,336NE2S,3,2,-7,11,3187
swipe,336NE2S,3,3,-8,14,5066
swipe,336NE2S,3,4,-8,8,2702
swipe,336NE2S,4,0,-11,13,4040
swipe,336NE2S,4,1,-11,15,3869
swipe,336NE2S,4,2,10,10,3802
swipe,336NE2S,4,3,-12,18,5903
swipe,336NE2S,4,4,11,11,3435
swipe,336NE2S,5,0,14,14,4445
swipe,336NE2S,5,1,-15,15,4205
swipe,336NE2S,5,2,-14,16,4234
swipe,336NE2S,5,3,13,13,4090
swipe,336NE2S,5,4,-14,14,3870
burger,3AASCHP,0,0,-5,1,22903
burger,3AASCHP,0,1,5,1,11546
burger,3AASCHP,0,2,5,1,3253
burger,3AASCHP,0,3,-5,1,3100
burger,3AASCHP,0,4,-5,1,3451
burger,3AASCHP,1,0,2,1,4097
burger,3AASCHP,1,1,-1,1,2852
burger,3AASCHP,1,2,-2,1,2803
burger,3AASCHP,1,3,-3,2,5073
burger,3AASCHP,1,4,2,1,2469
burger,3AASCHP,2,0,-4,1,4568
burger,3AASCHP,2,1,5,1,3252
burger,3AASCHP,2,2,4,1,2903
burger,3AASCHP,2,3,6,1,4771
burger,3AASCHP,2,4,-5,1,3635
burger,3AASCHP,3,0,9,1,4198
burger,3AASCHP,3,1,8,1,3936
burger,3AASCHP,3,2,-7,1,3419
burger,3AASCHP,3,3,-8,1,4471
burger,3AASCHP,3,4,-8,1,3506
burger,3AASCHP,4,0,-11,1,4543
burger,3AASCHP,4,1,-11,1,3605
burger,3AASCHP,4,2,10,1,2984
burger,3AASCHP,4,3,-12,1,3005
burger,3AASCHP,4,4,11,1,2704
burger,3AASCHP,5,0,14,1,6241
burger,3AASCHP,5,1,-15,1,4636
burger,3AASCHP,5,2,-14,1,3923
burger,3AASCHP,5,3,13,1,3454
burger,3AASCHP,5,4,-14,1,2938
swipe,26KK8BL,0,0,-5,5,3336
swipe,26KK8BL,0,1,5,5,2436
swipe,26KK8BL,0,2,5,5,3114
swipe,26KK8BL,0,3,-5,5,2761
swipe,26KK8BL,0,4,-5,5,3985
swipe,26KK8BL,1,0,2,2,2152
swipe,26KK8BL,1,1,-1,1,1686
swipe,26KK8BL,1,2,-2,2,1650
swipe,26KK8BL,1,3,-3,5,2553
swipe,26KK8BL,1,4,2,2,1633
swipe,26KK8BL,2,0,-4,4,2657
swipe,26KK8BL,2,1,5,5,2120
swipe,26KK8BL,2,2,4,4,2169
swipe,26KK8BL,2,3,6,6,3038
swipe,26KK8BL,2,4,-5,5,2419
swipe,26KK8BL,3,0,9,9,5249
swipe,26KK8BL,3,1,8,8,4071
swipe,26KK8BL,3,2,-7,7,2788
swipe,26KK8BL,3,3,-8,8,2572
swipe,26KK8BL,3,4,-8,16,8878
swipe,26KK8BL,4,0,-11,13,5557
swipe,26KK8BL,4,1,-11,25,10497
swipe,26KK8BL,4,2,10,12,4710
swipe,26KK8BL,4,3,-12,12,4052
swipe,26KK8BL,4,4,11,11,7841
swipe,26KK8BL,5,0,14,14,6467
swipe,26KK8BL,5,1,-15,15,4405
swipe,26KK8BL,5,2,-14,14,4038
swipe,26KK8BL,5,3,13,13,4054
swipe,26KK8BL,5,4,-14,14,3822
swipe,2SNJ270,0,0,-5,5,4874
swipe,2SNJ270,0,1,5,5,3185
swipe,2SNJ270,0,2,5,5,3239
swipe,2SNJ270,0,3,-5,5,9011
swipe,2SNJ270,0,4,-5,5,7434
swipe,2SNJ270,1,0,2,2,2957
swipe,2SNJ270,1,1,-1,1,1285
swipe,2SNJ270,1,2,-2,2,1684
swipe,2SNJ270,1,3,-3,3,2235
swipe,2SNJ270,1,4,2,2,1834
swipe,2SNJ270,2,0,-4,4,3043
swipe,2SNJ270,2,1,5,5,2767
swipe,2SNJ270,2,2,4,4,2600
swipe,2SNJ270,2,3,6,6,3387
swipe,2SNJ270,2,4,-5,5,2484
swipe,2SNJ270,3,0,9,9,4905
swipe,2SNJ270,3,1,8,8,3567
swipe,2SNJ270,3,2,-7,7,3188
swipe,2SNJ270,3,3,-8,8,3668
swipe,2SNJ270,3,4,-8,8,3756
swipe,2SNJ270,4,0,-11,11,5156
swipe,2SNJ270,4,1,-11,11,4205
swipe,2SNJ270,4,2,10,10,3954
swipe,2SNJ270,4,3,-12,12,4639
swipe,2SNJ270,4,4,11,11,4389
swipe,2SNJ270,5,0,14,14,5971
swipe,2SNJ270,5,1,-15,59,24794
swipe,2SNJ270,5,2,-14,14,4605
swipe,2SNJ270,5,3,13,13,4205
swipe,2SNJ270,5,4,-14,14,4894
swipe,1TROSI0,0,0,-5,5,2912
swipe,1TROSI0,0,1,5,5,2003
swipe,1TROSI0,0,2,5,5,1786
swipe,1TROSI0,0,3,-5,5,2217
swipe,1TROSI0,0,4,-5,5,2018
swipe,1TROSI0,1,0,2,2,3121
swipe,1TROSI0,1,1,-1,1,1251
swipe,1TROSI0,1,2,-2,2,1752
swipe,1TROSI0,1,3,-3,3,2638
swipe,1TROSI0,1,4,2,2,1517
swipe,1TROSI0,2,0,-4,4,2409
swipe,1TROSI0,2,1,5,5,1934
swipe,1TROSI0,2,2,4,4,1852
swipe,1TROSI0,2,3,6,6,2770
swipe,1TROSI0,2,4,-5,5,1985
swipe,1TROSI0,3,0,9,9,3833
swipe,1TROSI0,3,1,8,8,3205
swipe,1TROSI0,3,2,-7,9,3537
swipe,1TROSI0,3,3,-8,8,3154
swipe,1TROSI0,3,4,-8,10,3438
swipe,1TROSI0,4,0,-11,11,4790
swipe,1TROSI0,4,1,-11,11,4738
swipe,1TROSI0,4,2,10,10,3572
swipe,1TROSI0,4,3,-12,12,4156
swipe,1TROSI0,4,4,11,11,4372
swipe,1TROSI0,5,0,14,14,4792
swipe,1TROSI0,5,1,-15,15,4240
swipe,1TROSI0,5,2,-14,14,4588
swipe,1TROSI0,5,3,13,13,4038
