navigation,pid,tid,jid,distance,n_interactions,time_ms
swipe,J99U2P,0,0,-5,6,25543
swipe,J99U2P,0,1,5,5,5264
swipe,J99U2P,0,2,5,5,3859
swipe,J99U2P,0,3,-5,5,3912
swipe,J99U2P,0,4,-5,5,3661
swipe,J99U2P,1,0,2,2,3814
swipe,J99U2P,1,1,-1,1,2453
swipe,J99U2P,1,2,-2,2,2405
swipe,J99U2P,1,3,-3,3,3758
swipe,J99U2P,1,4,2,2,2701
swipe,J99U2P,2,0,-4,4,3635
swipe,J99U2P,2,1,5,5,2521
swipe,J99U2P,2,2,5,5,3011
swipe,J99U2P,2,3,6,8,4117
swipe,J99U2P,2,4,-5,5,2728
swipe,J99U2P,3,0,9,9,6708
swipe,J99U2P,3,1,8,8,5566
swipe,J99U2P,3,2,-7,7,4604
swipe,J99U2P,3,3,-8,8,4832
swipe,J99U2P,3,4,-8,8,4805
swipe,J99U2P,4,0,-11,11,9145
swipe,J99U2P,4,1,-11,11,6796
swipe,J99U2P,4,2,10,10,5889
swipe,J99U2P,4,3,-12,12,7133
swipe,J99U2P,4,4,11,11,5320
swipe,J99U2P,5,0,14,14,7169
swipe,J99U2P,5,1,-15,15,6713
swipe,J99U2P,5,2,-14,14,6672
swipe,J99U2P,5,3,13,13,6358
swipe,J99U2P,5,4,-14,32,15175
burger,72VUPI,0,0,-5,2,20624
burger,72VUPI,0,1,5,1,8157
burger,72VUPI,0,2,5,1,5867
burger,72VUPI,0,3,-5,1,4890
burger,72VUPI,0,4,-5,1,3864
burger,72VUPI,1,0,2,1,4869
burger,72VUPI,1,1,-1,1,3833
burger,72VUPI,1,2,-2,2,4958
burger,72VUPI,1,3,-3,1,3682
burger,72VUPI,1,4,2,1,2976
burger,72VUPI,2,0,-4,1,4705
burger,72VUPI,2,1,5,1,2646
burger,72VUPI,2,2,5,1,2587
burger,72VUPI,2,3,6,1,3195
burger,72VUPI,2,4,-5,1,4287
burger,72VUPI,3,0,9,1,5342
burger,72VUPI,3,1,8,1,3862
burger,72VUPI,3,2,-7,1,3107
burger,72VUPI,3,3,-8,1,2836
burger,72VUPI,3,4,-8,1,3812
burger,72VUPI,4,0,-11,1,4181
burger,72VUPI,4,1,-11,1,3288
burger,72VUPI,4,2,10,1,3139
burger,72VUPI,4,3,-12,1,2793
burger,72VUPI,4,4,11,1,3031
burger,72VUPI,5,0,14,2,9884
burger,72VUPI,5,1,-15,1,4798
burger,72VUPI,5,2,-14,1,4051
burger,72VUPI,5,3,13,1,4011
burger,72VUPI,5,4,-14,1,3633
burger,ERVPP3,0,0,-5,2,12200
burger,ERVPP3,0,1,5,1,5024
burger,ERVPP3,0,2,5,1,4883
burger,ERVPP3,0,3,-5,1,4532
burger,ERVPP3,0,4,-5,1,3480
burger,ERVPP3,1,0,2,1,4832
burger,ERVPP3,1,1,-1,1,2496
burger,ERVPP3,1,2,-2,1,3013
burger,ERVPP3,1,3,-3,1,4524
burger,ERVPP3,1,4,2,1,2911
burger,ERVPP3,2,0,-4,1,5888
burger,ERVPP3,2,1,5,1,3214
burger,ERVPP3,2,2,5,1,3378
burger,ERVPP3,2,3,6,2,6273
burger,ERVPP3,2,4,-5,1,3925
burger,ERVPP3,3,0,9,1,5471
burger,ERVPP3,3,1,8,2,6593
burger,ERVPP3,3,2,-7,1,3480
burger,ERVPP3,3,3,-8,1,3649
burger,ERVPP3,3,4,-8,1,3402
burger,ERVPP3,4,0,-11,2,6392
burger,ERVPP3,4,1,-11,1,2699
burger,ERVPP3,4,2,10,1,3232
burger,ERVPP3,4,3,-12,1,2819
burger,ERVPP3,4,4,11,1,3534
burger,ERVPP3,5,0,14,1,6934
burger,ERVPP3,5,1,-15,1,4059
burger,ERVPP3,5,2,-14,1,3756
burger,ERVPP3,5,3,13,1,3518
burger,ERVPP3,5,4,-14,1,3758
