pid,sex,job,age,smartphone,comments
10H3QLJ,f,Ernährungs- und Verbraucherökonomie,23,android,Samsung
112PPVD,m,Volkswirtschaftslehre,25,android,
16UG94T,f,Mathemathik / Chemie,20,nodroid,
178TCM8,f,Mathemathik / Geschichte,20,android,
19RBRJM,f,Rechtswissenschaften,24,android,
1AI5CFN,f,Agrarwissenschaften,27,nodroid,
1DMER1N,m,Volkswirtschaftslehre,22,android,
1E5N17K,f,Wirtschaftsinformatik,23,android,schön kurz :)
1LVR1BA,f,Agribusiness,25,android,
1TB4NLH,f,Biochemie,22,nodroid,
20EJ1N9,m,Mathematik / Informatik,26,android,Menü-Steuerung: nur 5/7 Steine da: Menü zum Ausklappen. besser: dauerhaft ausgeklappt - >1 Klick statt 2
2BNABHR,f,Psychologie,21,nodroid,
2GEOQ9P,m,Mathematik,24,android,
2GNEJNC,f,Agrarwissenschaften,26,android,
2KG07C4,m,Mathematik,25,android,
2L8FC9S,f,Ernährungs- und Verbraucherökonomie,27,android,
2NCTIET,f,Psychologie,20,nodroid,
2TLFJA1,m,Wirtschaftsinformatik,22,android,
302J6FO,f,Psychologie,20,android,
3348IDB,m,Mathemathik / Geologie,21,android,
33JHTN,f,Soziologie / Pädagogik,22,android,
33Q7Q69,f,Agrarwissenschaften,24,nodroid,
34M20O3,m,Physik,26,None,
34PLNOO,f,Volkswirtschaftslehre,25,android,
3687CUS,m,Musikwissenschaft / Philosophie,24,android,
3936UP7,f,Wirtschaftsinformatik,25,android,
3BF7MB2,m,Wirtschaftsingenieur,25,android,
3D9VNFN,f,Mathematik,24,android,
3IMSUI8,m,NA,25,android,
3KQPMNJ,m,Wirtschaftsinformatik,29,android,
3NC8CCE,m,Mathemathik / Sport,25,android,
3P156GT,f,Agrarwissenschaften,28,nodroid,
3REMHMO,f,Wirtschaftswissenschaften Profil: Handelslehrer,28,android,
3RPMKQ7,m,Wirtschaftsingenieur,20,android,
3TNUDVF,f,Agrarwissenschaften,23,android,
3U9GHH0,f,Mathemathik / Philosophie,20,android,
3V5IM4C,f,Medizin,24,android,
4JBL6N,m,Informatik / Nachhilfelehrer,30,android,"Ich zweifle die Aussagekraft der Studie an, da die Navigation nur aus „Wischen nach links“ und „Wischen nach rechts“ besteht."
72FFTI,m,Mathemathik / Physik,24,nodroid,
72VUPI,f,Mathematik / Spanisch,23,nodroid,
D9SBMV,f,Wirtschaftsinformatik,20,android,
E21CVE,m,Wirtschaftsinformatik,24,android,
EFUE02,f,Mathematik,35,android,
ERVPP3,m,Politikwissenschaft / Ur- und Frühgeschichte,26,nodroid,
F9ICJS,m,Psychologie,24,nodroid,
J99U2P,m,Finanzmathematik,24,android,
QG9SV3,f,Betriebswirtschaftslehre,25,android,"man könnte die Bedienung noch vereinfachen, indem man durch wischen von Tür zu Tür kann"
QRC5HP,m,Finanzmathematik,23,android,
S5AILP,f,Mathemathik / Deutsch / Psychologie,22,android,
T0FONT,f,Biologie,25,nodroid,
