navigation,pid,qid,result
swipe,QRC5HP,0,1
swipe,QRC5HP,1,1
swipe,QRC5HP,2,3
swipe,QRC5HP,3,4
swipe,S5AILP,0,1
swipe,S5AILP,1,1
swipe,S5AILP,2,1
swipe,S5AILP,3,5
swipe,T0FONT,0,1
swipe,T0FONT,1,2
swipe,T0FONT,2,4
swipe,T0FONT,3,5
burger,2KG07C4,0,1
burger,2KG07C4,1,5
burger,2KG07C4,2,2
burger,2KG07C4,3,6
swipe,J99U2P,0,1
swipe,J99U2P,1,1
swipe,J99U2P,2,4
swipe,J99U2P,3,4
burger,72VUPI,0,1
burger,72VUPI,1,4
burger,72VUPI,2,1
burger,72VUPI,3,7
burger,ERVPP3,0,2
burger,ERVPP3,1,5
burger,ERVPP3,2,2
burger,ERVPP3,3,3
burger,3TNUDVF,0,1
burger,3TNUDVF,1,1
burger,3TNUDVF,2,1
burger,3TNUDVF,3,5
burger,3687CUS,0,1
burger,3687CUS,1,1
burger,3687CUS,2,1
burger,3687CUS,3,4
swipe,33JHTN,0,2
swipe,33JHTN,1,1
swipe,33JHTN,2,1
swipe,33JHTN,3,4
swipe,1DMER1N,0,1
swipe,1DMER1N,1,1
swipe,1DMER1N,2,1
swipe,1DMER1N,3,6
swipe,178TCM8,0,1
swipe,178TCM8,1,2
swipe,178TCM8,2,1
swipe,178TCM8,3,4
swipe,EFUE02,0,1
swipe,EFUE02,1,4
swipe,EFUE02,2,1
swipe,EFUE02,3,3
swipe,10H3QLJ,0,2
swipe,10H3QLJ,1,6
swipe,10H3QLJ,2,2
swipe,10H3QLJ,3,4
burger,D9SBMV,0,1
burger,D9SBMV,1,1
burger,D9SBMV,2,1
burger,D9SBMV,3,7
swipe,19RBRJM,0,1
swipe,19RBRJM,1,1
swipe,19RBRJM,2,1
swipe,19RBRJM,3,5
swipe,1TB4NLH,0,1
swipe,1TB4NLH,1,2
swipe,1TB4NLH,2,1
swipe,1TB4NLH,3,3
burger,3D9VNFN,0,1
burger,3D9VNFN,1,1
burger,3D9VNFN,2,1
burger,3D9VNFN,3,3
burger,3348IDB,0,2
burger,3348IDB,1,5
burger,3348IDB,2,1
burger,3348IDB,3,7
burger,2NCTIET,0,1
burger,2NCTIET,1,2
burger,2NCTIET,2,1
burger,2NCTIET,3,6
swipe,302J6FO,0,1
swipe,302J6FO,1,1
swipe,302J6FO,2,1
swipe,302J6FO,3,4
swipe,1E5N17K,0,1
swipe,1E5N17K,1,1
swipe,1E5N17K,2,1
swipe,1E5N17K,3,7
swipe,3KQPMNJ,0,1
swipe,3KQPMNJ,1,1
swipe,3KQPMNJ,2,2
swipe,3KQPMNJ,3,4
swipe,3936UP7,0,1
swipe,3936UP7,1,1
swipe,3936UP7,2,1
swipe,3936UP7,3,4
burger,34PLNOO,0,2
burger,34PLNOO,1,5
burger,34PLNOO,2,1
burger,34PLNOO,3,2
burger,2BNABHR,0,1
burger,2BNABHR,1,1
burger,2BNABHR,2,2
burger,2BNABHR,3,3
swipe,3BF7MB2,0,1
swipe,3BF7MB2,1,2
swipe,3BF7MB2,2,1
swipe,3BF7MB2,3,4
swipe,3REMHMO,0,7
swipe,3REMHMO,1,1
swipe,3REMHMO,2,2
swipe,3REMHMO,3,5
burger,33Q7Q69,0,5
burger,33Q7Q69,1,6
burger,33Q7Q69,2,2
burger,33Q7Q69,3,3
swipe,2GNEJNC,0,4
swipe,2GNEJNC,1,4
swipe,2GNEJNC,2,1
swipe,2GNEJNC,3,6
swipe,4JBL6N,0,2
swipe,4JBL6N,1,1
swipe,4JBL6N,2,2
swipe,4JBL6N,3,1
burger,112PPVD,0,4
burger,112PPVD,1,1
burger,112PPVD,2,1
burger,112PPVD,3,5
swipe,3U9GHH0,0,3
swipe,3U9GHH0,1,2
swipe,3U9GHH0,2,1
swipe,3U9GHH0,3,4
burger,16UG94T,0,1
burger,16UG94T,1,1
burger,16UG94T,2,1
burger,16UG94T,3,7
burger,3P156GT,0,1
burger,3P156GT,1,1
burger,3P156GT,2,1
burger,3P156GT,3,7
burger,2L8FC9S,0,1
burger,2L8FC9S,1,1
burger,2L8FC9S,2,1
burger,2L8FC9S,3,6
burger,1LVR1BA,0,1
burger,1LVR1BA,1,1
burger,1LVR1BA,2,1
