navigation,pid,tid,qid,result
swipe,QRC5HP,0,0,7
swipe,QRC5HP,0,1,4
swipe,QRC5HP,1,0,7
swipe,QRC5HP,1,1,4
swipe,QRC5HP,2,0,7
swipe,QRC5HP,2,1,6
swipe,QRC5HP,3,0,7
swipe,QRC5HP,3,1,4
swipe,QRC5HP,4,0,7
swipe,QRC5HP,4,1,3
swipe,QRC5HP,5,0,7
swipe,QRC5HP,5,1,4
swipe,S5AILP,0,0,7
swipe,S5AILP,0,1,1
swipe,S5AILP,1,0,7
swipe,S5AILP,1,1,3
swipe,S5AILP,2,0,7
swipe,S5AILP,2,1,1
swipe,S5AILP,3,0,7
swipe,S5AILP,3,1,4
swipe,S5AILP,4,0,7
swipe,S5AILP,4,1,3
swipe,S5AILP,5,0,7
swipe,S5AILP,5,1,1
swipe,T0FONT,0,0,7
swipe,T0FONT,0,1,6
swipe,T0FONT,1,0,7
swipe,T0FONT,1,1,6
swipe,T0FONT,2,0,7
swipe,T0FONT,2,1,7
swipe,T0FONT,3,0,7
swipe,T0FONT,3,1,7
swipe,T0FONT,4,0,7
swipe,T0FONT,4,1,6
swipe,T0FONT,5,0,7
swipe,T0FONT,5,1,4
burger,2KG07C4,0,0,6
burger,2KG07C4,0,1,1
burger,2KG07C4,1,0,7
burger,2KG07C4,1,1,1
burger,2KG07C4,2,0,7
burger,2KG07C4,2,1,1
burger,2KG07C4,3,0,7
burger,2KG07C4,3,1,2
burger,2KG07C4,4,0,7
burger,2KG07C4,4,1,1
burger,2KG07C4,5,0,7
burger,2KG07C4,5,1,1
