navigation,pid,tid,qid,result
swipe,J99U2P,0,0,7
swipe,J99U2P,0,1,1
swipe,J99U2P,1,0,7
swipe,J99U2P,1,1,1
swipe,J99U2P,2,0,7
swipe,J99U2P,2,1,1
swipe,J99U2P,3,0,7
swipe,J99U2P,3,1,1
swipe,J99U2P,4,0,7
swipe,J99U2P,4,1,3
swipe,J99U2P,5,0,7
swipe,J99U2P,5,1,3
burger,72VUPI,0,0,7
burger,72VUPI,0,1,1
burger,72VUPI,1,0,7
burger,72VUPI,1,1,1
burger,72VUPI,2,0,7
burger,72VUPI,2,1,1
burger,72VUPI,3,0,7
burger,72VUPI,3,1,1
burger,72VUPI,4,0,7
burger,72VUPI,4,1,1
burger,72VUPI,5,0,7
burger,72VUPI,5,1,1
burger,ERVPP3,0,0,7
burger,ERVPP3,0,1,5
burger,ERVPP3,1,0,7
burger,ERVPP3,1,1,5
burger,ERVPP3,2,0,7
burger,ERVPP3,2,1,6
burger,ERVPP3,3,0,7
burger,ERVPP3,3,1,6
burger,ERVPP3,4,0,7
burger,ERVPP3,4,1,4
burger,ERVPP3,5,0,7
burger,ERVPP3,5,1,5
